28.0000,32.0000,26.0000,6.0000,-4.0000,-10.0000,-8.0000,-8.0000,-2.0000,6.0000,
78.0000,40.0000,24.0000,-6.0000,-8.0000,-6.0000,-6.0000,-12.0000,-4.0000,8.0000,
18.0000,6.0000,4.0000,-2.0000,-2.0000,-6.0000,-4.0000,-6.0000,-6.0000,10.0000,
10.0000,12.0000,4.0000,-6.0000,-6.0000,-6.0000,-2.0000,-2.0000,-2.0000,8.0000,
-2.0000,-4.0000,-6.0000,-4.0000,-4.0000,-2.0000,2.0000,4.0000,2.0000,0.0000,
-28.0000,-24.0000,-6.0000,-12.0000,0.0000,2.0000,8.0000,8.0000,0.0000,-4.0000,
-46.0000,-20.0000,-16.0000,-8.0000,0.0000,10.0000,2.0000,14.0000,8.0000,-10.0000,
-46.0000,-18.0000,-4.0000,4.0000,4.0000,8.0000,14.0000,8.0000,4.0000,-8.0000,
2.0000,10.0000,4.0000,6.0000,2.0000,2.0000,2.0000,4.0000,0.0000,-6.0000,
50.0000,8.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,
