< 0, 0, 0 >
< 47.2845, 0, 46.5851 >
< 48.2116, 0, 46.5851 >
< 48.2116, 0, 46.5851 >
< 48.2116, 0, 46.5851 >
< 48.2116, 0, 46.5851 >
< 50.0659, 0, 46.5851 >
< 50.0659, 0, 46.5851 >
< 50.0659, 0, 46.5851 >
< 50.0659, 0, 45.4759 >
< 50.0659, 0, 44.3667 >
< 50.0659, 0, 44.3667 >
< 50.0659, 0, 44.3667 >
< 50.0659, 0, 44.3667 >
< 50.0659, 0, 43.2576 >
< 50.0659, 0, 42.1484 >
< 50.0659, 0, 42.1484 >
< 50.0659, 0, 42.1484 >
< 50.0659, 0, 42.1484 >
< 50.0659, 0, 42.1484 >
< 50.0659, 0, 42.1484 >
< 50.0659, 0, 42.1484 >
< 51.9202, 0, 41.0392 >
< 50.0659, 0, 41.0392 >
< 51.9202, 0, 39.9301 >
< 51.9202, 0, 39.9301 >
< 51.9202, 0, 39.9301 >
< 51.9202, 0, 39.9301 >
< 51.9202, 0, 39.9301 >
< 52.8473, 0, 41.0392 >
< 54.7016, 0, 41.0392 >
< 56.5559, 0, 42.1484 >
< 56.5559, 0, 42.1484 >
< 56.5559, 0, 43.2576 >
< 56.5559, 0, 44.3667 >
< 56.5559, 0, 44.3667 >
< 56.5559, 0, 44.3667 >
< 56.5559, 0, 44.3667 >
< 58.4102, 0, 45.4759 >
< 59.3374, 0, 46.5851 >
< 60.2645, 0, 47.6943 >
< 60.2645, 0, 48.8034 >
< 60.2645, 0, 48.8034 >
< 60.2645, 0, 48.8034 >
< 60.2645, 0, 48.8034 >
< 60.2645, 0, 48.8034 >
< 62.1188, 0, 48.8034 >
< 63.046, 0, 49.9126 >
< 63.046, 0, 48.8034 >
< 63.046, 0, 48.8034 >
< 63.046, 0, 48.8034 >
< 63.046, 0, 48.8034 >
< 63.046, 0, 47.6943 >
< 63.046, 0, 47.6943 >
< 63.046, 0, 47.6943 >
< 64.9003, 0, 46.5851 >
< 65.8274, 0, 47.6943 >
< 66.7545, 0, 47.6943 >
< 66.7545, 0, 46.5851 >
< 68.6088, 0, 46.5851 >
< 68.6088, 0, 45.4759 >
< 68.6088, 0, 44.3667 >
< 69.536, 0, 45.4759 >
< 69.536, 0, 45.4759 >
< 70.4631, 0, 45.4759 >
< 70.4631, 0, 45.4759 >
< 70.4631, 0, 45.4759 >
< 70.4631, 0, 45.4759 >
< 72.3174, 0, 45.4759 >
< 72.3174, 0, 45.4759 >
< 72.3174, 0, 44.3667 >
< 72.3174, 0, 44.3667 >
< 72.3174, 0, 43.2576 >
< 72.3174, 0, 43.2576 >
< 72.3174, 0, 43.2576 >
< 73.2446, 0, 43.2576 >
< 73.2446, 0, 43.2576 >
< 73.2446, 0, 42.1484 >
< 73.2446, 0, 43.2576 >
< 75.0989, 0, 43.2576 >
< 75.0989, 0, 43.2576 >
< 75.0989, 0, 43.2576 >
< 75.0989, 0, 42.1484 >
< 76.026, 0, 43.2576 >
< 76.026, 0, 43.2576 >
< 77.8803, 0, 42.1484 >
< 77.8803, 0, 43.2576 >
< 77.8803, 0, 42.1484 >
< 77.8803, 0, 41.0392 >
< 77.8803, 0, 41.0392 >
< 77.8803, 0, 41.0392 >
< 78.8074, 0, 41.0392 >
< 78.8074, 0, 39.9301 >
< 78.8074, 0, 39.9301 >
< 77.8803, 0, 39.9301 >
< 78.8074, 0, 38.8209 >
< 79.7346, 0, 38.8209 >
< 79.7346, 0, 38.8209 >
< 81.5889, 0, 37.7117 >
< 81.5889, 0, 37.7117 >
< 79.7346, 0, 36.6026 >
< 79.7346, 0, 35.4934 >
< 79.7346, 0, 34.3842 >
< 79.7346, 0, 34.3842 >
< 77.8803, 0, 33.2751 >
< 77.8803, 0, 33.2751 >
< 73.2446, 0, 32.1659 >
< 73.2446, 0, 31.0567 >
< 73.2446, 0, 31.0567 >
< 73.2446, 0, 31.0567 >
< 72.3174, 0, 31.0567 >
< 72.3174, 0, 31.0567 >
< 70.4631, 0, 32.1659 >
< 70.4631, 0, 32.1659 >
< 72.3174, 0, 31.0567 >
< 72.3174, 0, 31.0567 >
< 73.2446, 0, 31.0567 >
< 75.0989, 0, 31.0567 >
< 75.0989, 0, 31.0567 >
< 75.0989, 0, 31.0567 >
< 75.0989, 0, 32.1659 >
< 73.2446, 0, 32.1659 >
< 73.2446, 0, 32.1659 >
< 70.4631, 0, 33.2751 >
< 70.4631, 0, 33.2751 >
< 70.4631, 0, 33.2751 >
< 70.4631, 0, 33.2751 >
< 70.4631, 0, 33.2751 >
< 69.536, 0, 34.3842 >
< 69.536, 0, 34.3842 >
< 70.4631, 0, 34.3842 >
< 70.4631, 0, 35.4934 >
< 69.536, 0, 35.4934 >
< 69.536, 0, 36.6026 >
< 69.536, 0, 36.6026 >
< 69.536, 0, 37.7117 >
< 69.536, 0, 38.8209 >
< 69.536, 0, 39.9301 >
< 70.4631, 0, 39.9301 >
< 70.4631, 0, 41.0392 >
< 70.4631, 0, 41.0392 >
< 69.536, 0, 41.0392 >
< 68.6088, 0, 42.1484 >
< 68.6088, 0, 42.1484 >
< 66.7545, 0, 43.2576 >
< 66.7545, 0, 43.2576 >
< 65.8274, 0, 44.3667 >
< 65.8274, 0, 44.3667 >
< 64.9003, 0, 45.4759 >
< 64.9003, 0, 45.4759 >
< 64.9003, 0, 46.5851 >
< 64.9003, 0, 47.6943 >
< 64.9003, 0, 48.8034 >
< 63.046, 0, 48.8034 >
< 63.046, 0, 49.9126 >
< 62.1188, 0, 49.9126 >
< 62.1188, 0, 51.0218 >
< 62.1188, 0, 51.0218 >
< 62.1188, 0, 52.1309 >
< 62.1188, 0, 52.1309 >
< 62.1188, 0, 53.2401 >
< 62.1188, 0, 53.2401 >
< 62.1188, 0, 53.2401 >
< 62.1188, 0, 54.3493 >
< 62.1188, 0, 55.4584 >
< 63.046, 0, 56.5676 >
< 63.046, 0, 57.6768 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 63.046, 0, 58.7859 >
< 64.9003, 0, 58.7859 >
< 64.9003, 0, 58.7859 >
< 64.9003, 0, 58.7859 >
